ticker,name,locale,currency
A,Agilent Technologies Inc.,US,USD
AA,Alcoa Corporation,US,USD
AAA,AAF First Priority CLO Bond ETF,US,USD
AAAG,AAA Century Group USA Inc,US,USD
AAAIF,Alternative Investment Trust Units (Austrailia),US,USD
AAALF,Aareal Bank AG AKT,US,USD
AAALY,Aareal Bank AG Unsponsored American Depository Receipt (Germany),US,USD
AAAP,Wool Industry Tria Alfa S.A..,US,EUR
AAARF,Aluar Aluminio Argentino Sa Alua Ordinary Shares 1 Vote (Argentina),US,USD
AAAU,Goldman Sachs Physical Gold ETF Shares,US,USD
AABA,Altaba Inc,US,USD
AABB,Asia Broadband Inc Common Stock,US,USD
AABNF,Altin AG,US,USD
AABVF,Aberdeen International Inc Ordinary Shares,US,USD
AAC,AAC Microtec AB,US,SEK
AAC U,"Ares Acquisition Corporation Units, each consisting of one Class A ordinary share, and one-fifth of",US,USD
AACAF,AAC Technologies Holdings Inc Ordinary Shares (Cayman Islands),US,USD
AACAY,AAC Technologies Holdings Inc Unsponsored ADR (Cayman Islands),US,USD
AACEY,Asia Cement China Holdings Corp,US,USD
AACG,ATA Creativity Global American Depositary Shares,US,USD
AACH,AAC HLDGS INC Common Stock,US,USD
AACMF,Asia Cement,US,TWD
AACQ,Artius Acquisition Inc. Class A Common Stock,US,USD
AACQU,Artius Acquisition Inc. Unit,US,USD
AACQW,Artius Acquisition Inc Warrant,US,USD
AACS,"American Commerce Solutions, Inc. Common Stock",US,USD
AACTF,AURORA SOLAR TECHNOLOGIES INC  Common Shares,US,USD
AADR,AdvisorShares Dorsey Wright ADR ETF,US,USD
AAEEF,Altair Res Inc Common Shares,US,USD
AAFGF,Anglo African Oil & Gas Plc,US,USD
AAFRF,Airtel Africa Plc Ordinary Shares (United Kingdom),US,USD
AAGC,All American Gold Corp. Common Stock,US,USD
AAGEF,AAG ENERGY HLDGS LTD Ordinary Shares (Cayman Islands),US,USD
AAGFF,Aftermath Silver Ltd Ordinary Shares,US,USD
AAGGY,AIA ENGR LTD  American Depositary Receipts - Unsponsored,US,USD
AAGH,America Great Health Common Stock,US,USD
AAGIY,"AIA Group, Ltd. Sponsored American Depository Receipt (Hong Kong)",US,USD
AAGRY,Astra Agro Lestari TBK PT Unsponsored ADR (Indonesia),US,USD
AAHIF,Asahi Co Ltd Osaka Ordinary Shares (Japan),US,USD
AAIC,Arlington Asset Investment Corp.,US,USD
AAIC-B,Arlington Asset Investment Corp. 7.00% Series B Cumulative Perpetual Redeemable Preferred Stock,US,USD
AAIC-C,Arlington Asset Investment Corp. 8.250% Series C Fixed-to-Floating Rate Cumulative Redeemable Prefer,US,USD
AAIGF,"AIA Group, Ltd. Ordinary Shares (Hong Kong)",US,USD
AAIIQ,"Alabama Aircraft Industries, Inc. Common Stock",US,USD
AAINF,Asiabasemetals Inc Common Shares,US,USD
AAIR,Avantair Inc,US,USD
AAIRF,American Aires Inc. Common Shares  Canada(CA ),US,USD
AAIT,Al Anwar Hldgs,US,OMR
AAL,American Airlines Group Inc. Common Stock,US,USD
AALBF,Aalberts Industries NV Ordinary Shares (Netherlands),US,USD
AAMAF,Atlas Mara Co Nvest Ltd. Ordinary Shares (Virgin Islands British),US,USD
AAMC,Altisource Asset Mgmt Corp,US,USD
AAME,Atlantic American Corporation Common Stock,US,USD
AAMMF,Almadex Minerals Ltd Ordinary Shares (Canada),US,USD
AAMTF,Armada Mercantile Ltd Ordinary Shares,US,USD
AAN,"The Aaron's Company, Inc.",US,USD
AAN WI,"The Aaron''s Company, Inc.",US,USD
AANC,Andover National Corp,US,USD
AANNF,Aroundtown SA Ordinary Shares (Luxembourg),US,USD
AANOF,Asciano Limited,US,USD
AANR,ANR Inc,US,USD
AAOI,"Applied Optoelectronics, Inc. Common Stock",US,USD
AAOMF,Atlas Consolidated Mining & Development Corporation,US,USD
AAON,"AAON, Inc. Common Stock",US,USD
AAP,ADVANCE AUTO PARTS INC,US,USD
AAPCF,Atlantic Alliance Partnership Corp,US,USD
AAPH,American Petro Hunter Inc,US,USD
AAPJ,"AAP, Inc. Common Stock",US,USD
AAPL,Apple Inc. Common Stock,US,USD
AAPT,"All American Pet Company, Inc. Common Stock",US,USD
AASCF,ALL ACTIVE ASSET CAP LTD Ordinary Shares,US,USD
AASL,"America's Suppliers, Inc. Common Stock",US,USD
AASP,"All-American SportPark, Inc. Common Stock",US,USD
AAST,Allied American Steel Corp,US,USD
AASZF,Atlantic Sapphire AS Common Shares,US,USD
AAT,"AMERICAN ASSETS TRUST, INC.",US,USD
AATAF,Arata Corporation,US,JPY
AATDF,AA LTD Ordinary Shares (United Kingdom),US,USD
AATGF,ATI Airtest Technologies Inc Ordinary Shares,US,USD
AATP,Agape ATP Corporation Common Stock,US,USD
AATRL,"AMG Capital  Trust II 5.15% Convertible Trust Preferred Securities, Expiring 10/15/2037",US,USD
AATV,"Adaptive Ad Systems, Inc. NEW Common Stock",US,USD
AAU,Almaden Minerals Ltd.,US,USD
AAUJF,AndeanGold Ltd,US,USD
AAUKF,Anglo American plc Ordinary Shares (United Kingdom),US,USD
AAUKY,Anglo American plc,US,USD
AAVMY,Abn Amro BK N V Amsterdam Brh American Depositary Receipts - Unsponsored (Netherlands),US,USD
AAVVF,Advantage Oil & Gas Ltd Ordinary Shares (Canada),US,USD
AAVXF,Abivax SA Ordinary Shares (France),US,USD
AAWC,Alexandria Advantage Warranty Company Common Stock,US,USD
AAWCD,CANNING STR CORP Common Stock,US,USD
AAWW,Atlas Air Worldwide Holdings NEW Common Stock,US,USD
AAXJ,iShares MSCI All Country Asia ex Japan ETF,US,USD
AAXN,"Axon Enterprise, Inc. Common Stock",US,USD
AAXT,"Aamaxan Transport Group, Inc. Common Stock",US,USD
